Greek,Latin,similarity,pair_type,greek_contexts,latin_contexts
ἐπιστήμη,scientia,0.8198096044425213,etymological,50,50
δικαιοσύνη,iustitia,0.8141678863221619,etymological,50,50
ἀλήθεια,veritas,0.8135159071531963,etymological,50,50
ψυχή,anima,0.8117837228762094,etymological,100,50
νοῦς,intellectus,0.8113379191191366,etymological,100,50
ἐπιστήμη,corpus,0.8000537169023088,control,50,50
δικαιοσύνη,tempus,0.7413509191112726,control,50,50
ἀλήθεια,mors,0.788496999283198,control,50,50
ψυχή,res,0.7941190814213795,control,100,50
νοῦς,vita,0.7769515911829065,control,100,50
